variant,canonical
empowering,empowering
encouraging,encouraging
informative,informative
reassuring,reassuring
animated,animated
animated backgrounds,animated backgrounds
animation,animation
app demo,app demo
approachable,approachable
aspirational,aspirational
authentic,authentic
8-bit pixel art,8-bit pixel art
black and white,black and white
casual,casual
casual and informative,casual and informative
casual and relatable,casual and relatable
chalkboard animation,chalkboard animation
clean,clean
clean and simple,clean and simple
color,color
conversational,conversational
2d animation,2d animation
3d cartoon,3d cartoon
2d graphics,2d graphics
dark background with hands performing actions,dark background with hands performing actions
detective interrogation,detective interrogation
direct address,direct address
direct address with animated text overlays and visuals,direct address with animated text overlays and visuals
direct response,direct response
directtocamera,directtocamera
dramatic,dramatic
dynamic,dynamic
educational,educational
educational and encouraging,educational and encouraging
empathetic,empathetic
empathetic and hopeful,empathetic and hopeful
empathetic and reassuring,empathetic and reassuring
engaging,engaging
enthusiastic,enthusiastic
enthusiastic and relatable,enthusiastic and relatable
evocative,evocative
exaggerated,exaggerated
excited,excited
fast cut,fast cut
fastcut,fastcut
fastpaced,fastpaced
fastpaced cuts,fastpaced cuts
first person,first person
flipbook,flipbook
friendly,friendly
frustrated,frustrated
handdrawn animation,handdrawn animation
handheld signs,handheld signs
hopeful,hopeful
humorous,humorous
influencer,influencer
informative and reassuring,informative and reassuring
lifestyle,lifestyle
lighthearted,lighthearted
lighthearted and engaging,lighthearted and engaging
lighthearted and humorous,lighthearted and humorous
live action,live action
manonthestreet interview,manonthestreet interview
modern,modern
modern minimalist,modern minimalist
mother,mother
motion graphic,motion graphic
motion graphics,motion graphics
optimistic,optimistic
other,other
podcast interview,podcast interview
positive,positive
positive and encouraging,positive and encouraging
pov,pov
product demo,product demo
rebuilder,rebuilder
regretful,regretful
relatable,relatable
relieved,relieved
screen recording animated,screen recording animated
serious,serious
slice of life,slice of life
sliceoflife,sliceoflife
split screen,split screen
static image,static image
stop motion,stop motion
stopmotion,stopmotion
student,student
studio,studio
testimonial,testimonial
text overlay,text overlay
then celebratory,then celebratory
then hopeful,then hopeful
trustworthy,trustworthy
ugc,ugc
upbeat,upbeat
upbeat and encouraging,upbeat and encouraging
upbeat and positive,upbeat and positive
upbeat and relatable,upbeat and relatable
uplifting,uplifting
uplifting and empowering,uplifting and empowering
user generated content,user generated content
user generated content ugc,user generated content ugc
user generated content ugc animated graphics,user generated content ugc animated graphics
user interface,user interface
user story,user story
usercentric,usercentric
usergenerated content,usergenerated content
usergenerated content ugc,usergenerated content ugc
usergenerated content ugc style split screen,usergenerated content ugc style split screen
using paper elements and simple visuals,using paper elements and simple visuals
visceral,visceral
vlog,vlog
warm and uplifting,warm and uplifting
whimsical,whimsical
whiteboard,whiteboard
whiteboard animation,whiteboard animation
young professional,young professional
